"","Time_point_h","Organ","mean","quant","cld"
"1","24","Root",0.505498506535452,0.654570746837258,"a"
"2","24","Shoot",0.426171163505099,0.537234385739288,"a"
"3","2","Shoot",0.405819576009713,0.497292678441728,"a"
"4","0","Shoot",0.400333233990787,0.432760456950382,"a"
"5","2","Root",0.0967589054802805,0.137016954651286,"b"
"6","0","Root",-0.143940012866433,-0.115182299680117,"c"
