"","Time_point_h","Organ","mean","quant","cld"
"1","0","Shoot",0.400333233990787,0.432760456950382,"a"
"2","2","Root",0.278995012403552,0.362465488783351,"ab"
"3","24","Root",0.104402434819862,0.1226913593137,"b"
"4","24","Shoot",-0.115283569277928,0.0248342793152943,"c"
"5","0","Root",-0.143940012866433,-0.115182299680117,"cd"
"6","2","Shoot",-0.344153958791129,-0.324449318429639,"d"
