"","File_name","ROI_number","Area_in_um2","IntDen_RFP","IntDen_GFP","Fluorescence_ratio_of_RFP_to_GFP","Genotype","Organ","Time_point_h","Treatment","Mean_ratio_for_KO","Normalized_ratio","Log_Normalized_ratio"
"39","AZD 24h 823 shoot 2 image 2",1,25313.152,51860490.584,38369106.587,1.352,"WT","Shoot","24","AZD",1.16755555555556,1.15797487628474,0.146672683133699
"40","AZD 24h 823 shoot 2 image 3",1,25313.152,69206397.792,34644731.929,1.998,"WT","Shoot","24","AZD",1.16755555555556,1.7112676056338,0.537234385739288
"41","AZD 24h 823 shoot 3 image 1",1,25313.152,60136673.891,27817668.78,2.162,"WT","Shoot","24","AZD",1.16755555555556,1.85173201370384,0.616121424729943
"42","AZD 24h 823 shoot 3 image 2",1,25313.152,38208670.571,21603491.852,1.769,"WT","Shoot","24","AZD",1.16755555555556,1.51513132851161,0.415502120690574
"43","AZD 24h 823 shoot 3 image 3",1,25313.152,48599212.204,25480396.352,1.907,"WT","Shoot","24","AZD",1.16755555555556,1.63332698896079,0.490619032131208
"44","AZD 2h 823 root 1 image 1",1,13614.724,53234346.523,36563465.163,1.456,"WT","Root","2","AZD",1.38633333333333,1.05025246453474,0.0490305776818291
"45","AZD 2h 823 root 1 image 2",1,14198.187,46784820.201,31502640.515,1.485,"WT","Root","2","AZD",1.38633333333333,1.07117095455638,0.0687524001619979
"46","AZD 2h 823 root 2 image 1",1,11562.446,33609525.161,21907156.635,1.534,"WT","Root","2","AZD",1.38633333333333,1.10651598942053,0.101216330852399
"47","AZD 2h 823 root 2 image 2",1,13775.474,50798352.632,34737161.015,1.462,"WT","Root","2","AZD",1.38633333333333,1.0545804279875,0.0531429892349217
"48","AZD 2h 823 root 3 image 1",1,17099.297,45239407.661,27821912.042,1.626,"WT","Root","2","AZD",1.38633333333333,1.17287809569608,0.159460639032954
"49","AZD 2h 823 root 3 image 2",1,14411.198,49245558.963,30615170.22,1.609,"WT","Root","2","AZD",1.38633333333333,1.16061553257995,0.148950495917581
"50","AZD 2h 823 shoot 1 image 1",1,25313.152,52054415.312,28071088.83,1.854,"WT","Shoot","2","AZD",1.2965,1.43000385653683,0.357677141147081
"51","AZD 2h 823 shoot 1 image 2",1,25313.152,54578164.747,26774187.769,2.038,"WT","Shoot","2","AZD",1.2965,1.57192441187813,0.452300608803951
"52","AZD 2h 823 shoot 2 image 1",1,25313.152,44672975.306,20641547.754,2.164,"WT","Shoot","2","AZD",1.2965,1.66910913999229,0.512290034987653
"53","AZD 2h 823 shoot 2 image 2",1,25313.152,46138830.999,21160589.966,2.18,"WT","Shoot","2","AZD",1.2965,1.68145005784805,0.519656550804416
"54","AZD 2h 823 shoot 3 image 1",1,25313.152,46870358.727,26715360.311,1.754,"WT","Shoot","2","AZD",1.2965,1.3528731199383,0.302230567953409
"55","AZD 2h 823 shoot 3 image 2",1,25313.152,44895689.803,25887092.816,1.734,"WT","Shoot","2","AZD",1.2965,1.33744697261859,0.290762552361768
"56","mock 823 root 1 image 1",1,20011.404,42555818.178,34987651.002,1.216,"WT","Root","0","mock",1.52683333333333,0.796419604846632,-0.227629090261041
"57","mock 823 root 1 image 2",1,15640.384,35529656.044,27824154.071,1.277,"WT","Root","0","mock",1.52683333333333,0.836371575155551,-0.178682296754614
"58","mock 823 root 2 image 1",1,15038.99,34089595.313,25709899.196,1.326,"WT","Root","0","mock",1.52683333333333,0.868464141469272,-0.141028982041346
"59","mock 823 root 2 image 2",1,15670.992,44872696.828,33357653.339,1.345,"WT","Root","0","mock",1.52683333333333,0.880908197795001,-0.126801860751214
"60","mock 823 root 3 image 1",1,13278.164,30728881.574,21761573.337,1.412,"WT","Root","0","mock",1.52683333333333,0.924789870101517,-0.0781887347339663
"61","mock 823 root 3 image 2",1,16883.658,40097005.468,29360473.413,1.366,"WT","Root","0","mock",1.52683333333333,0.894662154786595,-0.111309112656418
"62","mock 823 shoot 1 image 1",1,25313.152,56582192.427,27264018.935,2.075,"WT","Shoot","0","mock",1.34266666666667,1.54543197616683,0.435303467494455
"63","mock 823 shoot 1 image 2",1,25313.152,47212003.554,23506662.072,2.008,"WT","Shoot","0","mock",1.34266666666667,1.49553128103277,0.402481515641277
"64","mock 823 shoot 2 image 1",1,25313.152,48358984.36,23545378.08,2.054,"WT","Shoot","0","mock",1.34266666666667,1.52979145978153,0.42513142531816
"65","mock 823 shoot 2 image 2",1,25313.152,50437592.215,27258711.567,1.85,"WT","Shoot","0","mock",1.34266666666667,1.37785501489573,0.320527952902027
"66","mock 823 shoot 3 image 1",1,25313.152,42558910.767,22557812.152,1.887,"WT","Shoot","0","mock",1.34266666666667,1.40541211519364,0.340330580198207
"67","mock 823 shoot 3 image 2",1,25313.152,52135182.903,24075152.933,2.166,"WT","Shoot","0","mock",1.34266666666667,1.61320754716981,0.478224462390593
