File name,ROI number,Area in um2,IntDen RFP,IntDen GFP,Fluorescence ratio of RFP to GFP
AZD 24h 824 shoot 1 image 3,1,25313.152,78309191.268,67708663.975,1.157
AZD 24h 824 shoot 2 image 1,1,25313.152,46856197.523,40659058.531,1.152
AZD 24h 824 shoot 2 image 2,1,25313.152,65382368.973,52652424.874,1.242
AZD 24h 824 shoot 2 image 3,1,25313.152,58787404.750,48904557.354,1.202
AZD 24h 824 shoot 3 image 1,1,25313.152,42560307.515,37174882.594,1.145
AZD 24h 824 shoot 3 image 2,1,25313.152,45416372.090,38158770.378,1.190
AZD 24h 824 shoot 3 image 3,1,25313.152,42332173.392,35777470.437,1.183
AZD 2h 823 root 1 image 1,1,13614.724,53234346.523,36563465.163,1.456
AZD 2h 823 root 1 image 2,1,14198.187,46784820.201,31502640.515,1.485
AZD 2h 823 root 2 image 1,1,11562.446,33609525.161,21907156.635,1.534
AZD 2h 823 root 2 image 2,1,13775.474,50798352.632,34737161.015,1.462
AZD 2h 823 root 3 image 1,1,17099.297,45239407.661,27821912.042,1.626
AZD 2h 823 root 3 image 2,1,14411.198,49245558.963,30615170.220,1.609
AZD 2h 823 shoot 1 image 1,1,25313.152,52054415.312,28071088.830,1.854
AZD 2h 823 shoot 1 image 2,1,25313.152,54578164.747,26774187.769,2.038
AZD 2h 823 shoot 2 image 1,1,25313.152,44672975.306,20641547.754,2.164
AZD 2h 823 shoot 2 image 2,1,25313.152,46138830.999,21160589.966,2.180
AZD 2h 823 shoot 3 image 1,1,25313.152,46870358.727,26715360.311,1.754
AZD 2h 823 shoot 3 image 2,1,25313.152,44895689.803,25887092.816,1.734
AZD 2h 824 root 1 image 1,1,13750.608,21760090.921,16308004.019,1.334
AZD 2h 824 root 1 image 2,1,12021.776,17934794.109,13456271.074,1.333
AZD 2h 824 root 2 image 1,1,13128.971,13900094.492,11033205.333,1.260
AZD 2h 824 root 2 image 2,1,14057.339,18550360.668,13455056.875,1.379
AZD 2h 824 root 3 image 1,1,12917.396,19039978.410,12456932.584,1.528
AZD 2h 824 root 3 image 2,1,13685.452,22948390.898,15463444.553,1.484
AZD 2h 824 shoot 1 image 1,1,25313.152,51863183.671,40153073.759,1.292
AZD 2h 824 shoot 1 image 2,1,25313.152,47663811.466,37152208.759,1.283
AZD 2h 824 shoot 2 image 1,1,25313.152,46722900.056,36156355.329,1.292
AZD 2h 824 shoot 2 image 2,1,25313.152,51552148.853,38456750.140,1.341
AZD 2h 824 shoot 3 image 1,1,25313.152,80385667.943,63187971.137,1.272
AZD 2h 824 shoot 3 image 2,1,25313.152,62785404.312,48351222.317,1.299
mock 823 root 1 image 1,1,20011.404,42555818.178,34987651.002,1.216
mock 823 root 1 image 2,1,15640.384,35529656.044,27824154.071,1.277
mock 823 root 2 image 1,1,15038.990,34089595.313,25709899.196,1.326
mock 823 root 2 image 2,1,15670.992,44872696.828,33357653.339,1.345
